pendling_rank,location_group,commute_to_billund_min,commute_distance_km,commute_source,billund_rank,distance_to_billund_km,distance_score_0_100,billund_priority_score_0_100,price_efficiency_score_0_100,dog_friendly,rent_per_m2_dkk,Rang,By,mï¿½,Vï¿½r.,Type,Mdl. leje,URL,Billund-score,Plads-score,Pris-score,Samlet vurdering,Kommentar,listing_id,canonical_url,address,postal_code,city_from_page,lat,lon,date_posted,valid_from,monthly_rent_from_page_dkk,area_from_page_m2,rooms_from_page,deposit_dkk,monthly_aconto_dkk,move_in_price_dkk,available_from_text,energy_label,furnished,floor,pets_allowed,pets_policy_text,landlord_name,landlord_validated,scrape_status,scraped_at_utc,samlet_vurdering_num,is_new,card_title,card_description,image_url
1,Billund,5.4,2.8,osrm,3,1.7,95.7,91.7,59.5,True,102.0,3,Billund,98,4,Rï¿½kkehus,9995,https://www.boligportal.dk/r%C3%A6kkehuse/billund/98m2-4-vaer-id-5431909,10,9,8,94,Tï¿½ttest pï¿½ LEGO,5431909,https://www.boligportal.dk/r%C3%A6kkehuse/billund/98m2-4-vaer-id-5431909,Læhegnet,7190,Billund,55.721,9.095,2024-04-15T08:45:51.687277+00:00,2024-04-15T08:45:51.687277+00:00,9995,98,4,29985,9995,49975,31. juli 2026,-,Nej,-,True,Ja,BoligAgent,True,ok,2026-06-06T12:15:34.049764+00:00,94.0,True,4 værelses rækkehus på Læhegnet i Billund udlejes - 98 m² - 9.995 kr,"Velkommen til Ankelbo i Billund. Ankelbo byder dig velkommen med 98 rækkehuse,alle konstrueret i é",https://image-lambda.boligportal.dk/ec64ad956d75c75e658837fae0942021?w=600&h=600&fit=crop&auto=compress%2Cenhance%2Cformat&crop=focalpoint
2,Billund,5.7,2.8,osrm,1,1.5,96.2,90.2,52.2,True,105.2,6,Billund,95,3,Rï¿½kkehus,9995,https://www.boligportal.dk/r%C3%A6kkehuse/billund/95m2-3-vaer-id-5442903,10,8,8,90,Stï¿½rk LEGO-kandidat,5442903,https://www.boligportal.dk/r%C3%A6kkehuse/billund/95m2-3-vaer-id-5442903,Tøndebåndet,7190,Billund,55.718,9.107,2024-06-18T07:25:27.854931+00:00,2024-06-18T07:25:27.854931+00:00,9995,95,3,29985,0,39980,Snarest muligt,,Nej,-,True,Ja,BoligAgent,True,ok,2026-06-06T12:15:37.182635+00:00,90.0,True,Nyopført rækkehuse til leje🏡 - 95 m² - 9.995 kr,Skønt nyopført 3 værelses rækkehus til leje i Billund ved Tøndebåndet Velkommen til et moderne og l,https://image-lambda.boligportal.dk/4d0b25702dd0b67d81eb888f5e0164d9?w=600&h=600&fit=crop&auto=compress%2Cenhance%2Cformat&crop=focalpoint
3,Billund,6.2,3.1,osrm,2,1.6,96.0,89.3,46.7,True,107.6,7,Billund,91,3,Rï¿½kkehus,9795,https://www.boligportal.dk/r%C3%A6kkehuse/billund/91m2-3-vaer-id-5472558,10,8,8,89,Stï¿½rk LEGO-kandidat,5472558,https://www.boligportal.dk/r%C3%A6kkehuse/billund/91m2-3-vaer-id-5472558,Engen,7190,Billund,55.724,9.092,2024-12-16T10:45:39.541188+00:00,2024-12-16T10:45:39.541188+00:00,9795,91,3,29385,9795,48975,1. juli 2026,-,Nej,-,True,Ja,BoligAgent,True,ok,2026-06-06T12:15:38.241835+00:00,89.0,True,3 værelses rækkehus på Engen i Billund udlejes - 91 m² - 9.795 kr,"Velkommen til Ankelbo i Billund. Ankelbo byder dig velkommen med 98 rækkehuse, alle konstrueret på",https://image-lambda.boligportal.dk/94deaf704645fd7a1fccb99ddd080528?w=600&h=600&fit=crop&auto=compress%2Cenhance%2Cformat&crop=focalpoint
4,Give,16.5,15.6,osrm,8,12.9,67.7,66.8,48.0,True,107.0,19,Give,85,3,Rï¿½kkehus,9099,https://www.boligportal.dk/r%C3%A6kkehuse/give/85m2-3-vaer-id-5604793,8,6,9,72,Billigste i Pigernes Kvarter,5604793,https://www.boligportal.dk/r%C3%A6kkehuse/give/85m2-3-vaer-id-5604793,Ane Sørensens Vej,7323,Give,55.837,9.198,2026-03-03T08:31:18.971775+00:00,2026-03-03T08:31:18.971775+00:00,9099,85,3,27297,9099,36396,1. juli 2026,,Nej,-,True,Ja,BoligAgent,True,ok,2026-06-06T12:15:51.507365+00:00,72.0,True,3 værelses rækkehus på Ane Sørensens Vej i Give ud - 85 m² - 9.099 kr,"I Pigernes Kvarter i Give finder du dette indbydende dobbelthus på 85 m² – et hjem, hvor lysindfald,",https://image-lambda.boligportal.dk/6b7eac2a56df4f35ab399fe2ef803fd8?w=600&h=600&fit=crop&auto=compress%2Cenhance%2Cformat&crop=focalpoint
5,Give,16.7,15.7,osrm,5,12.9,67.7,73.6,58.2,True,102.6,2,Give (Pigernes Kvarter),95,4,Rï¿½kkehus,9745,https://www.boligportal.dk/r%C3%A6kkehuse/give/95m2-4-vaer-id-5598027,8,9,9,95,Stï¿½rk all-round kandidat,5598027,https://www.boligportal.dk/r%C3%A6kkehuse/give/95m2-4-vaer-id-5598027,Ane Sørensens Vej,7323,Give,55.837,9.199,2026-02-12T12:59:20.992573+00:00,2026-02-12T12:59:20.992573+00:00,9745,95,4,29235,9745,38980,Snarest muligt,,Nej,-,True,Ja,BoligAgent,True,ok,2026-06-06T12:15:32.990880+00:00,95.0,True,4 værelses rækkehus på Ane Sørensens Vej i Give ud - 95 m² - 9.745 kr,"**Et hjem med ro, lys og plads til hverdagen** På Ane Sørensens Vej finder du et moderne dobbelthus",https://image-lambda.boligportal.dk/1d5ecc94553d5eda70c42bb361673283?w=600&h=600&fit=crop&auto=compress%2Cenhance%2Cformat&crop=focalpoint
6,Give,18.8,17.0,osrm,7,12.9,67.7,71.4,61.8,True,101.0,11,Give,95,3,Rï¿½kkehus,9595,https://www.boligportal.dk/r%C3%A6kkehuse/give/95m2-3-vaer-id-5532006,8,8,9,85,God vï¿½rdi,5532006,https://www.boligportal.dk/r%C3%A6kkehuse/give/95m2-3-vaer-id-5532006,Jensine Nielsens Vej,7323,Give,55.836,9.204,2025-08-15T05:47:35.060093+00:00,2025-08-15T05:47:35.060093+00:00,9595,95,3,28575,0,38170,Snarest muligt,-,Nej,-,True,Ja,BoligAgent,True,ok,2026-06-06T12:15:42.354921+00:00,85.0,True,"Dejligt lyst og nyere rækkehus, - tæt på natur og - 95 m² - 9.595 kr",Dette 3-værelses rækkehus ligger på en stille vej i naturskønne omgivelser i Give. Huset indeholder,https://image-lambda.boligportal.dk/08c08e3a16c2337859da338c9a630a8c?w=600&h=600&fit=crop&auto=compress%2Cenhance%2Cformat&crop=focalpoint
7,Give,19.3,17.3,osrm,6,12.9,67.7,72.2,54.0,True,104.4,5,Give (Pigernes Kvarter),95,4,Rï¿½kkehus,9917,https://www.boligportal.dk/r%C3%A6kkehuse/give/95m2-4-vaer-id-5598025,8,9,8,91,Nï¿½sten identisk med #2,5598025,https://www.boligportal.dk/r%C3%A6kkehuse/give/95m2-4-vaer-id-5598025,Ane Sørensens Vej,7323,Give,55.836,9.201,2026-02-12T12:59:15.048448+00:00,2026-02-12T12:59:15.048448+00:00,9917,95,4,29751,9917,39668,1. august 2026,,Nej,-,True,Ja,BoligAgent,True,ok,2026-06-06T12:15:36.129781+00:00,91.0,True,4 værelses rækkehus på Ane Sørensens Vej i Give ud - 95 m² - 9.917 kr,På en fredelig stikvej i Pigernes Kvarter ligger dette indflytningsklare rækkehus på Ane Sørensens V,https://image-lambda.boligportal.dk/ec4f5fb8dcc60441747749fad530027d?w=600&h=600&fit=crop&auto=compress%2Cenhance%2Cformat&crop=focalpoint
8,Bredsten,19.7,19.8,osrm,10,17.4,56.4,61.6,52.2,True,105.2,15,Bredsten,95,3,Rï¿½kkehus,9995,https://www.boligportal.dk/r%C3%A6kkehuse/bredsten/95m2-3-vaer-id-5638046,7,8,7,79,Roligt omrï¿½de,5638046,https://www.boligportal.dk/r%C3%A6kkehuse/bredsten/95m2-3-vaer-id-5638046,Herman Bangs Vej,7182,Bredsten,55.706,9.39,2026-06-03T22:43:41.686639+00:00,2026-06-03T22:43:41.686639+00:00,9995,95,3,29985,9995,49975,25. august 2026,-,Nej,-,True,Ja,BoligAgent,True,ok,2026-06-06T12:15:46.353140+00:00,79.0,True,3 værelses rækkehus på Herman Bangs Vej i Bredsten - 95 m² - 9.995 kr,Velkommen til Herman Bangs Vej i Bredsten! På Herman Bangs Vej i Bredsten – tæt på Vejle og Billund,https://image-lambda.boligportal.dk/78c604bb2bc6eced73ec84a2af1d64b2?w=600&h=600&fit=crop&auto=compress%2Cenhance%2Cformat&crop=focalpoint
9,Give,20.1,17.6,osrm,4,12.7,68.2,70.5,52.0,True,105.3,12,Give,95,3,Rï¿½kkehus,9999,https://www.boligportal.dk/r%C3%A6kkehuse/give/95m2-3-vaer-id-5598029,8,8,8,84,Aktivitetshus og fï¿½llesskab,5598029,https://www.boligportal.dk/r%C3%A6kkehuse/give/95m2-3-vaer-id-5598029,Sire Eskildsens Vej,7323,Give,55.835,9.198,2026-02-12T12:59:28.794375+00:00,2026-02-12T12:59:28.794375+00:00,9999,95,3,29997,9999,39996,15. juli 2026,,Nej,-,True,Ja,BoligAgent,True,ok,2026-06-06T12:15:43.358297+00:00,84.0,True,3 værelses rækkehus på Sire Eskildsens Vej i Give - 95 m² - 9.999 kr,"### **Velkommen indenfor** På Sire Eskildsens Vej finder du dette moderne dobbelthus, hvor funktion",https://image-lambda.boligportal.dk/e8ce1ac1679cb4902d1d17ad1f97b57f?w=600&h=600&fit=crop&auto=compress%2Cenhance%2Cformat&crop=focalpoint
10,Gadbjerg,20.9,19.1,osrm,9,13.9,65.2,76.9,100.0,False,84.4,1,Gadbjerg,107,4,Rï¿½kkehus,9027,https://www.boligportal.dk/r%C3%A6kkehuse/gadbjerg/107m2-4-vaer-id-5260371,10,10,10,98,Bedste samlede vï¿½rdi,5260371,https://www.boligportal.dk/r%C3%A6kkehuse/gadbjerg/107m2-4-vaer-id-5260371,Sejershaven,7321,Gadbjerg,55.77,9.327,2022-02-17T15:56:54.309240+00:00,2022-02-17T15:56:54.309240+00:00,9027,107,4,27081,0,36108,Snarest muligt,-,Nej,-,False,Nej,BoligAgent,True,ok,2026-06-06T12:15:31.993741+00:00,98.0,True,Rækkehus udlejes - 107 m² - 9.027 kr,Velindrettet rækkehus i Gadbjerg udlejes. Huset er indrettet med: Entre med garderobe og teknikska,https://image-lambda.boligportal.dk/c23e69d12b4b03a397a72f533deb0596?w=600&h=600&fit=crop&auto=compress%2Cenhance%2Cformat&crop=focalpoint
